Location,Unique_Id,row,col,Genotype,PlHa,PHI,YdHa,YdPl,SW,PSN,SWP,HI,VPP,StWP,PlHa_cat
INV-M3-1,20GH2CA705,25,24,GCDT_044,4.0,81.23123123,901.6666667,5.41,0.20037037,3.176470588,0.6364705882352941,70.6727629,5.0,3.98,1.0
INV-M3-1,20GH2CA443,34,17,GCDT_175,2.0,58.53131749,903.3333333,10.84,0.153758865,1.905405405,0.292972972972973,38.07516684,9.0,19.9,0.0
INV-M3-1,20GH2CA768,20,26,GCDT_092,4.0,78.73417722,907.0833333,5.4425,0.182941176,3.966666667,0.7256666666666667,62.00512674,,7.46,1.0
INV-M3-1,20GH2CA645,33,22,GCDT_132,5.0,81.11810441,912.9166667,4.382,0.248977273,4.19047619,1.0433333333333334,37.81498101,70.0,30.93,2.0
INV-M3-1,20GH2CA581,32,21,GCDT_158,4.0,78.10734463,921.6666667,5.53,0.248539326,4.238095238,1.0533333333333335,57.42471443,5.0,10.2,1.0
INV-M3-1,20GH2CA703,23,24,GCDT_054,5.0,71.11681643,923.3333333,4.432,0.148724832,2.709090909,0.40290909090909094,48.64983535,,14.39,2.0
INV-M3-1,20GH2CA636,24,22,GCDT_085,3.0,81.19349005,935.4166667,7.483333333,0.20787037,4.153846154,0.8634615384615384,60.52844432,7.0,9.44,1.0
INV-M3-1,20GH2CA431,23,16,GCDT_268,5.0,73.92305163,936.6666667,4.496,0.153972603,1.946666667,0.29973333333333335,45.49686298,11.0,19.0,2.0
INV-M3-1,20GH2CA554,10,20,GCDT_002,5.0,75.74941058,937.0833333,4.498,0.173,3.023255814,0.5230232558139535,53.85536398,1.0,12.07,2.0
INV-M3-1,20GH2CA556,12,20,GCDT_195,4.0,68.00482946,938.75,5.6325,0.308630137,2.35483871,0.7267741935483871,35.4078265,4.0,30.5,1.0
INV-M3-1,20GH2CA749,1,26,GCDT_254,4.0,72.66624041,947.0833333,5.6825,0.231938776,2.333333333,0.5411904761904762,64.26350014,9.0,4.09,1.0
INV-M3-1,20GH2CA601,12,21,GCDT_152,4.0,60.96385542,948.75,5.6925,0.274337349,1.693877551,0.4646938775510204,31.47636163,16.0,34.99,1.0
INV-M3-1,20GH2CA638,26,22,GCDT_027,4.0,82.07614943,952.0833333,5.7125,0.153355705,3.040816327,0.46632653061224494,65.30437268,1.0,7.15,1.0
